City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
103,kapaa,20,US,74,22.08,-159.32,80.6,10.29
104,mbigou,70,GA,94,-1.9,11.91,72.6,1.63
105,yakeshi,100,CN,48,49.28,120.73,46.86,20.31
106,hilo,40,US,69,19.71,-155.08,79,4.7
107,whitehorse,40,CA,36,60.72,-135.06,64,3.36
108,bonthe,63,SL,70,7.53,-12.5,85.38,9.78
109,bara,45,NG,25,10.41,10.6,96.54,4.99
110,lompoc,75,US,63,34.64,-120.46,66.99,12.75
111,port blair,99,IN,71,11.67,92.75,85.2,7.18
112,bredasdorp,0,ZA,62,-34.53,20.04,55,8.05
113,thinadhoo,100,MV,76,0.53,72.93,85.02,17
114,koumac,0,NC,68,-20.56,164.28,74.4,12.86
115,faanui,61,PF,74,-16.48,-151.75,82.86,11.59
116,xam nua,100,LA,98,20.42,104.04,67.38,2.17
117,east london,20,ZA,72,-33.02,27.91,60.8,27.51
118,sao filipe,2,CV,84,14.9,-24.5,72.96,16.91
119,deputatskiy,47,RU,82,69.3,139.9,8.52,3.31
120,chuy,96,UY,91,-33.69,-53.46,65.58,13.78
121,sitka,100,US,98,37.17,-99.65,48.99,11.99
122,forio,75,IT,77,40.73,13.86,62.6,6.93
123,russkaya polyana,100,RU,80,53.78,73.88,45.24,6.76
124,san felipe,37,CL,95,-32.75,-70.73,51.01,1.01
125,arraial do cabo,0,BR,78,-22.97,-42.02,84.2,4.7
126,margate,40,AU,66,-43.03,147.26,57.99,5.82
127,aklavik,75,CA,50,68.22,-135.01,55.4,3.09
128,lokosovo,100,RU,68,61.13,74.84,44.52,9.17
129,paita,0,PE,290,-5.09,-81.11,62.6,17.22
130,cravo norte,100,CO,67,6.3,-70.2,85.02,3.09
131,motygino,85,RU,84,58.18,94.69,49.2,5.23
132,west wendover,40,US,66,40.74,-114.07,51.8,4.7
133,adrar,40,DZ,17,27.87,-0.29,89.6,28.86
134,melfi,20,IT,87,41,15.66,59,10.29
135,kibaya,75,RW,88,-2.2,30.56,66.2,3.36
136,iqaluit,90,CA,86,63.75,-68.52,33.8,6.93
137,lavrentiya,31,RU,95,65.58,-170.99,28.32,6.4
138,morondava,0,MG,69,-20.3,44.28,79.08,9.06
139,vaini,0,IN,88,15.34,74.49,78.9,1.59
140,georgetown,75,GY,83,6.8,-58.16,82.4,11.41
141,sanchazi,0,CN,82,30.43,103.62,64.4,2.24
142,sarai mir,0,IN,35,26.02,82.92,86,3.36
143,yichun,89,CN,98,47.72,128.88,41.64,3.58
